frame,speed_kmh
50,0.0
51,1.1
52,0.6
53,0.9
54,0.4
55,0.5
56,0.4
57,0.7
58,0.5
59,0.4
60,0.3
61,0.4
62,0.7
63,1.1
64,0.5
65,0.5
66,0.8
67,1.2
68,1.2
69,0.5
70,0.8
71,1.8
72,1.3
73,1.2
74,0.1
75,2.2
76,1.7
77,0.6
78,1.1
79,0.7
80,1.0
81,0.3
82,0.4
83,0.3
84,0.9
85,2.0
86,1.4
87,1.7
88,1.4
89,0.7
90,0.3
91,0.7
92,0.7
93,0.6
94,1.1
95,2.3
96,1.6
97,1.1
98,0.7
99,0.5
100,1.1
101,0.5
102,1.5
103,0.8
104,1.5
105,2.5
106,2.5
107,1.5
108,2.0
109,1.4
110,0.2
111,1.0
112,1.4
113,1.5
114,2.8
115,1.7
116,1.1
117,0.5
118,1.7
119,1.8
120,0.8
121,1.6
122,1.5
123,1.3
124,1.9
125,1.0
126,0.2
127,1.3
128,0.9
129,1.8
130,1.7
131,1.1
132,0.9
133,0.4
134,0.3
135,0.1
136,1.4
137,0.8
138,0.9
139,0.7
140,1.3
141,0.6
142,0.1
143,0.5
144,0.4
145,1.0
146,1.9
147,0.7
148,0.3
149,1.0
